city,rank,lat,lon
Chicago,1,41.8373,-87.6862
Houston,2,29.7863,-95.3889
Detroit,3,42.3834,-83.1024
Louisville,4,38.1663,-85.6485
Phoenix,5,33.5722,-112.0891
Brooklyn,6,40.6501,-73.9496
Dayton,7,39.7797,-84.1998
Dallas,8,32.7936,-96.7662
Queens,9,40.7498,-73.7976
Las Vegas,10,36.2333,-115.2654
San Diego,11,32.8312,-117.1225
Miami,12,25.7839,-80.2102
Columbus,13,39.9862,-82.985
Cleveland,14,41.4767,-81.6804
Fayetteville,15,36.0713,-94.166
Indianapolis,16,39.7771,-86.1458
Philadelphia,17,40.0077,-75.1339
Riverside,18,33.9381,-117.3948
Cincinnati,19,39.1413,-84.5061
Kansas City,20,39.1239,-94.5541
Pittsburgh,21,40.4396,-79.9762
Boston,22,42.3188,-71.0846
Victorville,23,34.5277,-117.3536
Round Lake Beach,24,42.379,-88.0811
Fort Worth,25,32.7811,-97.3473
Bronx,26,40.8501,-73.8662
Tampa,27,27.9942,-82.4451
San Antonio,28,29.4658,-98.5253
Oakland,29,37.7903,-122.2165
Memphis,30,35.1046,-89.9773
Orlando,31,28.4772,-81.3369
Sacramento,32,38.5667,-121.4683
Seattle,33,47.6211,-122.3244
Omaha,34,41.2627,-96.0522
Fort Lauderdale,35,26.1412,-80.1464
South Lyon,36,42.4614,-83.6526
Rochester,37,43.168,-77.6162
Des Moines,38,41.5725,-93.6105
West Palm Beach,39,26.7468,-80.1316
Milwaukee,40,43.0642,-87.9673
Cambridge,41,42.3759,-71.1185
New York,42,40.6943,-73.9249
San Jose,43,37.3019,-121.8486
Buffalo,44,42.9016,-78.8487
Oklahoma City,45,35.4676,-97.5136
St. Louis,46,38.6358,-90.2451
Atlanta,47,33.7627,-84.4224
Minneapolis,48,44.9635,-93.2678
Huntsville,49,34.6988,-86.6412
El Paso,50,31.8479,-106.4309
Warren,51,42.4934,-83.027
Cape Coral,52,26.6446,-81.9956
Muncie,53,40.1989,-85.395
Charlotte,54,35.208,-80.8304
Bowie,55,38.9569,-76.7409
Nashville,56,36.1715,-86.7843
Austin,57,30.3004,-97.7522
Fresno,58,36.7831,-119.7941
Concord,59,37.9722,-122.0016
DeKalb,60,41.9313,-88.7482
Baltimore,61,39.3051,-76.6144
St. Petersburg,62,27.7931,-82.6652
Levittown,63,40.7241,-73.5125
