,CF,SF,lat,lon,geo_size
0,Abbeville County,South Carolina,34.2494365,-82.4734420158046,0.018812211303499932
1,Acadia Parish,Louisiana,30.265165500000002,-92.40182710969793,0.01805201537349999
2,Accomack County,Virginia,37.738141,-75.83488801740535,0.047900816345000236
3,Ada County,Idaho,43.4598335,-116.2240288477237,0.0002631152925000035
4,Adair County,Kentucky,40.1912535,-92.60093162261808,0.006848870222000097
5,Adams County,Washington,46.9986855,-118.47085784581881,0.31081017804050004
6,Addison County,Vermont,44.028384,-73.07782740203686,0.00792420766049991
7,Adjuntas Municipio,Puerto Rico,18.1812555,-66.75244351206896,0.0032269994760000076
8,Aguada Municipio,Puerto Rico,18.3774625,-67.18465361519236,0.0008568382064999571
9,Aguadilla Municipio,Puerto Rico,18.476339000000003,-67.14028687190017,0.00032200169150000524
10,Aguas Buenas Municipio,Puerto Rico,18.250433,-66.13034049133262,0.0007369025259999671
11,Aibonito Municipio,Puerto Rico,18.1281515,-66.26934580235603,0.002016344297500005
12,Aiken County,South Carolina,33.536398500000004,-81.66298581845086,0.001459313975499915
13,Aitkin County,Minnesota,46.5921575,-93.41638253618422,0.1442580700800001
14,Alachua County,Florida,29.680903999999998,-82.35522356847613,0.00023094337800001917
15,Alamance County,North Carolina,36.046583,-79.40057414559516,0.0033568090405000223
16,Alameda County,California,37.6826265,-121.90870146880697,0.00013029351700001148
17,Alamosa County,Colorado,37.5541275,-105.77352350589729,0.0037286386720000167
18,Albany County,New York,41.713128499999996,-105.67571387217285,0.000265852877000068
19,Albemarle County,Virginia,38.0005505,-78.56177072452581,0.007881539496000116
20,Alcona County,Michigan,44.6865795,-83.12898537173024,0.31814661831599966
21,Alcorn County,Mississippi,34.87567,-88.594341875324,0.03225269208450005
22,Aleutians East Borough,Alaska,55.640538500000005,-160.98154379923417,5.487726055156994
23,Aleutians West Census Area,Alaska,52.0050550557823,-175.29879484000728,0.805353855395
24,Alexander County,Illinois,35.910637,-81.18136449942803,0.029249031676999937
25,Alexandria city,Virginia,38.815116,-77.09027117679128,0.00011816074399998556
26,Alfalfa County,Oklahoma,36.730442499999995,-98.32525208891013,0.11442268096550023
27,Alger County,Michigan,46.932917,-86.48662642681555,1.2345144808425015
28,Allamakee County,Iowa,43.2906825,-91.34471102630717,0.040286025559499915
29,Allegan County,Michigan,42.593243,-86.28876600101935,0.0005750243370000345
30,Allegany County,New York,42.2590545,-78.02357078088804,0.022070484593000223
31,Alleghany County,North Carolina,36.470188500000006,-81.12606149790818,0.02413945048199997
32,Allegheny County,Pennsylvania,40.434625,-80.00616065057103,4.931845199998629e-05
33,Allen County,Ohio,41.0932205,-85.07023076519475,0.015939240401500243
34,Allen Parish,Louisiana,30.661725,-92.78833596255015,0.034783939057500136
35,Allendale County,South Carolina,32.951330999999996,-81.3640716349009,0.01979206033599987
36,Alpena County,Michigan,45.0341375,-83.16518562126103,0.3151806454554996
37,Alpine County,California,38.629892999999996,-119.84446312621621,0.19904429953850059
38,Amador County,California,38.463695,-120.73337223983387,0.01618287630600002
39,Amelia County,Virginia,37.3451335,-78.0421888616864,0.050309402235000064
40,Amherst County,Virginia,37.600005499999995,-79.16311743762202,0.0016320376424999669
41,Amite County,Mississippi,31.174284999999998,-90.8038915,0.0815087376574998
42,Anchorage Municipality,Alaska,61.1135485,-149.39714562576148,0.27844203316599936
43,Anderson County,Kentucky,34.514326499999996,-82.65856316614465,0.0011480982770000108
44,Andrew County,Missouri,39.975327,-94.80214872476142,0.05620263672199989
45,Andrews County,Texas,32.3052445,-102.63789843952324,0.11987571334999995
46,Androscoggin County,Maine,44.196502,-70.20310666770376,0.018309027792500095
47,Angelina County,Texas,31.276515,-94.6356312277482,0.001203396945499919
48,Anne Arundel County,Maryland,38.9742715,-76.54393496858714,0.0017408534115000037
49,Anoka County,Minnesota,45.225085,-93.24248789778858,0.007099207671499892
50,Anson County,North Carolina,35.0086545,-80.0992843148621,0.009087192515499967
51,Antelope County,Nebraska,42.1763445,-98.06767085303028,0.13772240426799992
52,Antrim County,Michigan,45.008522,-85.13982761083811,0.01645127332749977
53,Apache County,Arizona,35.2366005,-109.44495631056404,0.0503126171195003
54,Appanoose County,Iowa,40.7413745,-92.86803837329127,0.038628089225999945
55,Appling County,Georgia,31.718474999999998,-82.32718330203116,0.037024671262499906
56,Appomattox County,Virginia,37.3770105,-78.79275342158431,0.03300612790100009
57,Aransas County,Texas,28.0614555,-97.04606553485837,0.014716351462500882
58,Arapahoe County,Colorado,39.652158,-104.28306252825726,0.00022264346350000044
59,Archer County,Texas,33.613187499999995,-98.68829663829854,0.13208335353100015
60,Archuleta County,Colorado,37.207533,-107.05483931765839,0.10459527654749981
61,Arecibo Municipio,Puerto Rico,18.4305905,-66.67629342843065,0.00048455963599999515
62,Arenac County,Michigan,44.003299,-83.80535778622017,0.03176513149399978
63,Arkansas County,Arkansas,34.252756500000004,-91.38796483874731,0.0013785813915000512
64,Arlington County,Virginia,38.880804999999995,-77.10762723995657,0.0003305531505000534
65,Armstrong County,Pennsylvania,34.964192,-101.35716044741409,0.00021018202450000077
66,Aroostook County,Maine,46.5138265,-68.30373654886843,0.22741125954599986
67,Arroyo Municipio,Puerto Rico,17.9674985,-66.0424840227862,0.001505013602999983
68,Arthur County,Nebraska,41.571208999999996,-101.69610837477508,0.2008287904924997
69,Ascension Parish,Louisiana,30.2047435,-90.89199812639109,0.0038519258279999086
70,Ashe County,North Carolina,36.4142515,-81.49956950178812,0.014277533371500057
71,Ashland County,Ohio,46.647014,-90.68577612767209,0.024944384423500103
72,Ashley County,Arkansas,33.201977,-91.79583930042503,0.016240585145499944
73,Ashtabula County,Ohio,41.9138205,-80.7645580221962,0.0007345239750000266
74,Asotin County,Washington,46.228916,-117.18745331457282,0.1570517238
75,Assumption Parish,Louisiana,29.853141,-91.05447281960335,0.016126431583499898
76,Atascosa County,Texas,28.932547,-98.52082600447682,0.004914013159499919
77,Atchison County,Kansas,40.4232025,-95.41821774785511,0.10563227082150012
78,Athens County,Ohio,39.365877999999995,-82.0707754916574,0.005006687887000019
79,Atkinson County,Georgia,31.3019065,-82.84130746571961,0.021941730219500147
80,Atlantic County,New Jersey,39.5085,-74.68123184085213,0.0023674009620001223
81,Atoka County,Oklahoma,34.4186975,-95.96212502928572,0.06426825254000043
82,Attala County,Mississippi,33.082778000000005,-89.57220320933347,0.0507738532484999
83,Audrain County,Missouri,39.2023215,-91.76238087237948,0.003415161854000095
84,Audubon County,Iowa,41.6832735,-94.91863094666066,0.03493174529649986
85,Auglaize County,Ohio,40.520836,-84.22454858747233,0.025243756277500154
86,Augusta County,Virginia,38.179713,-79.30663006092495,0.011933935409500008
87,Aurora County,South Dakota,43.7180455,-98.56028920900826,0.2061771682104998
88,Austin County,Texas,29.8492705,-96.27419638695244,0.026942795429500118
89,Autauga County,Alabama,32.507511,-86.65125978329205,0.01269201972699985
90,Avery County,North Carolina,36.0992885,-81.92737224999999,0.009334800823500055
91,Avoyelles Parish,Louisiana,31.095905000000002,-91.97035460388247,0.021343989160499954
92,Añasco Municipio,Puerto Rico,18.2834285,-67.13724685220657,6.681016299999273e-05
93,Baca County,Colorado,37.314037,-102.5626848541937,0.537717349177001
94,Bacon County,Georgia,31.564218,-82.44601366027496,0.015915119972999964
95,Bailey County,Texas,34.0681375,-102.82949322571429,0.20930613230550063
96,Baker County,Oregon,44.668274999999994,-117.79829347766324,0.0022743661399999694
